"ID","Name","Type"
"-9","Pilot Car","Car"
"-8","G.C. McBride","Bike"
"-7","S.Q. Bellah","Bike"
"-6","J.B. Garrick","Bike"
"-5","S. Ellis","Bike"
"-4","E.D. Brewer","Bike"
"-3","L.E. Gray","Bike"
"-2","H.B. Freeman","Bike"
"-1","W.G. Lumpkin","Bike"
"0","Dallas Police Lead","Car"
"1","Presidential Limo","Car"
"2","B.J. Martin","Bike"
"3","B.W. Hargis","Bike"
"4","J.M. Chaney","Bike"
"5","D.L. Jackson","Bike"
"6","Secret Service #1","Car"
"7","Vice President","Car"
"8","Secret Service #2","Car"
"9","HSCA Gun","Gun"
"10","HSCA Dictabelt","Microphone"
"11","Mayor Cabell","Car"
"12","National Press Pool","Car"
"13","Camera Car #1","Car"
"14","Camera Car #2","Car"
"15","Camera Car #3","Car"
"16","H.B. McLain","Bike"
"17","M.L. Baker","Bike"
"18","Congressman #1","Car"
"19","Congressman #2","Car"
"20","Congressman #3","Car"
"21","VIP","Car"
"22","J.W. Courson","Bike"
"23","C.A. Haygood","Bike"
"24","Bus #1","Bus"
"25","Local Press","Car"
"26","Bus #2","Bus"
"27","R. Smart","Bike"
"28","R.J. Dale","Bike"
"29","Extra #1","Car"
"30","Western Union","Car"
"31","Signal Corps","Car"
"32","Extra #2","Car"
"33","Bus #3","Bus"
"34","Dallas Police Rear","Car"
"35","Assassin(s)","Human"
"36","M.L. Baker (h)","Human"
"37","B.W. Hargis (h)","Human"
"38","C.A. Haygood (h)","Human"
"39","Dearie Cabell","Human"
"40","M.T. Wright","Human"
"41","D. Wiegman","Human"
"42","T. Atkins","Human"
"43","J. Altgens","Human"
"44","B. & C. Hester","Human"
"45","Newman Family","Human"
"46","Zapruder Sitzman","Human"
"47","T. Towner","Human"
"48","J. Towner","Human"
"49","P. Willis","Human"
"50","R. Willis","Human"
"51","H. Betzner","Human"
"52","M. Bell","Human"
"53","R. Bothun","Human"
"54","F. Cancellare","Human"
"55","R. Croft","Human"
"56","M. Couch","Human"
"57","J. Darnell","Human"
"58","C.L. Bronson","Human"
"59","R. Hughes","Human"
"60","J.T. Martin","Human"
"61","M. McIntire","Human"
"62","M. Moorman","Human"
"63","M. Muchmore","Human"
"64","W. Bond","Human"
"65","O. Nix","Human"
"66","E. Dorman","Human"
"67","P. Paschall","Human"
"68","J. Daniel","Human"
"69","L. Bowers","Human"
"70","J. Tague","Human"
"71","R. MacNeil","Human"
"72","R. Skelton","Human"
"73","Duck Man","Human"
"74","J. Weaver","Human"
"75","J. Skaggs","Human"
"76","E. Hudson","Human"
"77","Black dog man","Human"
"78","Knoll Runner","Human"
"79","Franzen Family","Human"
"80","Joe M. Smith","Human"
"81","Edgar L. Smith","Human"
"82","W.E. Barnett","Human"
"83","G. Calvery","Human"
"84","B. Lovelady","Human"
"85","C. Walther","Human"
"86","J. Powell","Human"
"87","A. Euins","Human"
"88","H. Brennan","Human"
"89","V. Baker","Human"
"90","Brehm Family","Human"
